idptar;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CODEINSEE;Accessibilité UFR;PAQT;IDFM;Sens;Doublon;Ligne;GIPA
4109799;612500;2432870;1;0;1;0;48.8939941462,2.50687926428;IDAMIVIF;CHARLES HILDEVERT;93077;1;;100100114;R;Ok;114;3073
3682064;613720;2437973;1;1;1;1;48.9398297941,2.5236726963;IDAMIVIF;CIMETIERE DE SEVRAN;93071;1;;100100147;A;Ok;147;10261
6401772;612870;2423980;1;1;1;1;48.8140886203,2.51165346337;IDAMIVIF;MAIRIE DE CHAMPIGNY;94017;1;;100100116;R;;116;3161
4614253;615834;2426955;1;0;1;0;48.840760818,2.55210090085;IDAMIVIF;NOISY-LE-GRAND - MONT D'EST RER;93051;1;;100100120;A;Ok;120;60311
3619726;608844;2419600;1;1;1;1;48.7747894265,2.45677326318;IDAMIVIF;PORT;94028;1;;100100117;A;Ok;117;12498
4109729;607674;2427330;1;1;1;1;48.8442797754,2.44100160959;IDAMIVIF;CHATEAU DE VINCENNES;75112;1;;100100114;R;Ok;114;8343
3682094;613720;2437973;1;1;1;1;48.9398297941,2.5236726963;IDAMIVIF;CIMETIERE DE SEVRAN;93071;1;;100100147;R;Ok;147;10261
6401773;612866;2424251;1;1;1;1;48.8165243695,2.51160720885;IDAMIVIF;REPUBLIQUE - STALINGRAD;94017;1;;100100116;R;;116;3163
4614206;610547;2426496;1;1;1;1;48.8367436613,2.48010216288;IDAMIVIF;RUE DE BEAUTE;94052;1;;100100120;A;Ok;120;3126
3619737;608643;2420612;1;0;1;0;48.7838879764,2.45406038939;IDAMIVIF;PREFECTURE DU VAL-DE-MARNE.;94028;1;;100100117;A;Ok;117;12404
3715227;612371;2429984;1;0;1;0;48.8680594793,2.5050370372;IDAMIVIF;ETIENNE DOLET;93049;1;;100100114;R;Ok;114;3085
3682040;612294;2434563;1;1;1;1;48.9092132379,2.50412049539;IDAMIVIF;EGLISE DES PAVILLONS-SOUS-BOIS;93057;1;;100100147;A;Ok;147;4235
6401776;612190;2424575;1;1;1;1;48.8194495041,2.50241641581;IDAMIVIF;GABRIEL PERI - HENRI BARBUSSE;94017;1;;100100116;R;;116;3167
4614209;610790;2426510;1;1;1;1;48.8368654719,2.48341092946;IDAMIVIF;SOUS-PREFECTURE - JULES FERRY;94052;0;;100100120;R;Ok;120;3009
3619697;611661;2420759;1;1;1;1;48.7851618069,2.49511224188;IDAMIVIF;RASPAIL-PONT DE BONNEUIL;94068;1;;100100117;R;Ok;117;3138
4109827;612789;2428727;1;0;1;0;48.8567542012,2.51069369612;IDAMIVIF;FAIDHERBE - EGLISE;93049;1;;100100114;R;Ok;114;3020
3682045;614037;2435214;1;1;1;1;48.9150281491,2.52790589842;IDAMIVIF;GAMBETTA;93046;1;;100100147;A;Ok;147;4716
6401782;611594;2426657;1;1;1;1;48.8381727019,2.49436130405;IDAMIVIF;NOGENT-LE-PERREUX RER;94058;1;;100100116;R;;116;3012
4364021;610651;2431592;1;1;1;1;48.8825417215,2.48164556905;IDAMIVIF;BOIS-PERRIER RER-ROSNY 2;93064;1;;100100121;R;Ok;121;44141
3619709;610465;2418838;1;1;1;1;48.7679163492,2.47879797992;IDAMIVIF;REPUBLIQUE;94011;1;;100100117;A;Ok;117;14284
4109788;612624;2432022;1;1;1;1;48.8863706131,2.50854418242;IDAMIVIF;GENERAL LECLERC;93077;1;;100100114;A;Ok;114;3077
3682095;614185;2437695;1;1;1;1;48.937321384,2.53000690371;IDAMIVIF;GASTON BUSSIERE;93071;1;;100100147;R;Ok;147;10128
6401788;611114;2427807;1;1;1;1;48.8485167857,2.48785599125;IDAMIVIF;LE BOIS CADET;94033;1;;100100116;R;;116;3534
4364033;612784;2431769;1;1;1;1;48.8840936975,2.51071703555;IDAMIVIF;CHATEAU DE VILLEMOMBLE;93077;1;;100100121;R;Ok;121;14638
3619710;610465;2418838;1;1;1;1;48.7679163492,2.47879797992;IDAMIVIF;REPUBLIQUE;94011;1;;100100117;R;Ok;117;14284
4109805;612828;2428157;1;0;1;0;48.8516305922,2.51120769813;IDAMIVIF;LA MALTOURNEE;94058;1;;100100114;R;Ok;114;64145
3682099;615298;2436423;1;1;1;1;48.9258646194,2.54514375933;IDAMIVIF;JEAN-JACQUES ROUSSEAU;93046;1;;100100147;R;Ok;147;4685
6401792;611712;2428018;1;1;1;1;48.8504025647,2.49600532936;IDAMIVIF;CROIX D'EAU;94058;1;;100100116;R;;116;14876
3687725;608540;2429568;1;1;1;1;48.8643828083,2.4528386183;IDAMIVIF;DANTON;93048;1;;100100121;A;Ok;121;3426
3685750;609686;2428280;1;0;1;0;48.8527908601,2.46842029452;IDAMIVIF;ANDRE TESSIER;94033;1;;100100118;A;Ok;118;3245
4109748;611868;2426965;1;0;1;0;48.8409358828,2.49810046018;IDAMIVIF;LE PARC;94058;1;;100100114;R;Ok;114;3013
3682058;614724;2437172;1;1;1;1;48.9326091696,2.53734139624;IDAMIVIF;LOUIS MENARD;93071;1;;100100147;R;Ok;147;4710
6401803;611566;2429872;1;1;1;1;48.8670678372,2.49406741064;IDAMIVIF;PAUL BERT;93064;1;;100100116;R;;116;3185
4364015;610350;2430485;1;0;1;0;48.872597718,2.47751695352;IDAMIVIF;GRAND VERGER;93064;1;;100100121;A;Ok;121;3431
3685751;609686;2428280;1;0;1;0;48.8527908601,2.46842029452;IDAMIVIF;ANDRE TESSIER;94033;1;;100100118;R;Ok;118;3245
4798804;611868;2426965;1;0;1;0;48.8409358828,2.49810046018;IDAMIVIF;LE PARC;94058;1;;100100114;A;Ok;114;3013
3682050;614768;2435669;1;1;1;1;48.919100863,2.53788922599;IDAMIVIF;MAIRIE DE LIVRY - GARGAN;93046;1;;100100147;R;Ok;147;4683
6401807;610678;2431577;1;1;1;1;48.8824064667,2.48201311872;IDAMIVIF;BOIS-PERRIER RER - ROSNY 2;93064;1;;100100116;R;;116;68636
4364024;611472;2431627;1;1;1;1;48.8828421942,2.49283418992;IDAMIVIF;LES MARNAUDES;93064;1;;100100121;A;Ok;121;4642
3685735;607414;2427383;1;1;1;1;48.8447591455,2.43746214742;IDAMIVIF;AVENUE DU CHATEAU;94080;1;;100100118;A;Ok;118;46042
4109749;612208;2427145;1;0;1;0;48.8425472932,2.50273504611;IDAMIVIF;LEDRU-ROLLIN - GENERAL DE GAULLE;94058;1;;100100114;A;Ok;114;3014
3682056;615007;2436817;1;1;1;1;48.9294123002,2.54118896527;IDAMIVIF;MAUROUARD;93046;1;;100100147;R;Ok;147;4686
6401808;612758;2423213;1;1;1;1;48.8071972448,2.51010630967;IDAMIVIF;CHAMPIGNY - SAINT-MAUR RER;94068;1;;100100116;R;;116;11557
4364001;607693;2429236;1;1;1;1;48.8614096342,2.44129468513;IDAMIVIF;MAIRIE DE MONTREUIL;93048;1;;100100121;A;Ok;121;3358
3685736;607414;2427383;1;1;1;1;48.8447591455,2.43746214742;IDAMIVIF;AVENUE DU CHATEAU;94080;1;;100100118;R;Ok;118;46042
3715233;613529;2429648;1;0;1;0;48.8650164734,2.52080186723;IDAMIVIF;LES CHANOUX - LYCEE CUGNOT;93050;1;;100100114;R;Ok;114;2982
3682037;611038;2434303;1;1;1;1;48.9068993427,2.48698955477;IDAMIVIF;PASTEUR - HOPITAL JEAN VERDIER;93010;1;;100100147;R;Ok;147;4239
6401811;612899;2424259;1;1;1;1;48.8165956123,2.51205656618;IDAMIVIF;REPUBLIQUE - STALINGRAD;94017;1;;100100116;R;;116;3162
4364002;607693;2429236;1;1;1;1;48.8614096342,2.44129468513;IDAMIVIF;MAIRIE DE MONTREUIL;93048;1;;100100121;R;Ok;121;3358
3685791;607414;2427383;1;1;1;1;48.8447591455,2.43746214742;IDAMIVIF;AVENUE DU CHATEAU;94080;1;;100100118;R;Ok;118;46042
4109803;612428;2429107;1;0;1;0;48.8601764707,2.50578793434;IDAMIVIF;MAIRIE DE NEUILLY-PLAISANCE;93049;1;;100100114;R;Ok;114;3089
3682027;608295;2433506;1;1;1;1;48.8997777387,2.44957785858;IDAMIVIF;RUE DE PARIS N0 105;93053;0;;100100147;A;Ok;147;4676
6401815;612190;2424575;1;1;1;1;48.8194495041,2.50241641581;IDAMIVIF;GABRIEL PERI - HENRI BARBUSSE;94017;1;;100100116;R;;116;3167
4364028;612057;2431765;1;1;1;1;48.8840717565,2.50080987842;IDAMIVIF;MEISSONIER;93077;1;;100100121;A;Ok;121;3438
3685702;610615;2428237;1;0;1;0;48.8523897942,2.48107134617;IDAMIVIF;CHARLES GARCIA;94033;1;;100100118;A;Ok;118;3258
4109768;613082;2429668;1;0;1;0;48.8652054464,2.51471332468;IDAMIVIF;MARCEL DASSAULT;93049;0;;100100114;R;Ok;114;14758
4117699;608229;2438844;1;0;1;0;48.9477508015,2.44878143369;IDAMIVIF;ALTRINCHAM - LENINE;93007;1;;100100148;A;Ok;148;13218
