"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"France","FRA","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","49.5102320156586","50.3406751879578","50.4812372607645","51.3506227446073","51.9053061537089","52.2058141669727","54.561698869989","51.2529494406505","51.8466012341249","50.5254038140749","50.48854085387","50.9537210310125","49.9165916842904","41.8805441793056","38.0907948546208","37.4341611165956","37.8200301329052","29.8209334896818","34.8428096130246","43.1514780217865","42.4609589707779","42.4175732259981","40.5159704423455","41.333781736276","41.4122858319677","43.9631116833163","46.1849953883073","47.8813503155176","47.2732745851601","44.7186157391549","47.9339124388216","47.2404035230366","46.8616122168607","48.0395156333712","49.2036518300938","49.6491589422068","48.5999869249061","49.4106776677114","50.4771317180953","53.8471190933006","54.4320805131266","55.0208826634205","54.1176520797659","54.8747217905986","53.9090234898059","59.6804036828569",
"France","FRA","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","71.6355397484183","70.5005984662933","70.1584430778109","70.5224492468045","70.6637269504846","72.0271415304121","71.5744069397643","71.8591638760594","73.6582715078085","73.1943591110673","72.2499214187849","71.2874707320728","71.6535101030014","75.529979944549","75.0755484921637","75.6727674327501","75.7827516440911","75.4186957315219","73.2632833611577","72.404855162615","73.8894421306386","73.2264071055954","73.4531365546967","73.6290467159215","75.5518170899385","76.208282468159","75.8621016988241","75.7881981610263","76.8401844656886","77.7094926490547","77.9567548709532","77.3988145785254","78.5624240714024","79.0056305252153","79.57838177936","80.189322739161","81.7997655126847","82.4177739540183","80.9898946044285","81.7616287320746","81.4714361930326","80.8697657719141","80.8986193225506","80.1481834359967","79.3498751099201","79.0640162950106","77.5042795192284","78.6017608174657","78.2224593529454","76.1300210321167","76.6021050576409","76.9620871193632","77.5505623971341","78.7323279785354","79.6980201483709","79.9472167079973","79.7942113160353","80.5034605525546","",
"France","FRA","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","6065600000","6488200000","7315200000","8523900000","9899200000","10156500000","11732800000","12273800000","13863700000","17372700000","19009800000","21150100000","26851700000","37533500000","52704000000","53745900000","64130600000","70225700000","81464700000","106702000000","134587000000","120660000000","115458000000","105699000000","104120000000","108028000000","129045000000","158094000000","179900000000","192611000000","233954000000","231422000000","240946000000","202240000000","233833000000","277817000000","275521000000","274065000000","290107000000","313490000000","337872000000","328607000000","328727000000","398678000000","470889000000","503801000000","541814000000","631532000000","717917000000","563477000000","610915000000","719887000000","675016000000","682441000000","676617000000","570758000000","567657000000","619334000000","676442000000","654658000000","",
"France","FRA","Fuel imports (% of merchandise imports)","TM.VAL.FUEL.ZS.UN","","","15.4222764071033","16.5379519400857","15.143420223332","15.4771371488711","13.5481402250699","14.5075284034384","13.6580188557853","11.4040018580571","12.1091279281448","13.8767274464265","13.2263029850964","12.3616938865589","22.8939361549373","22.8701663788712","22.4465477835088","21.471280348533","19.4672582067252","21.5053532311115","26.5960584938376","28.8257735477235","26.7009045038724","24.4611850858208","24.0366826064248","22.2571141993733","12.6271034321339","10.749810156179","8.230308179911","8.84581917331213","9.57783149328501","9.68180745026726","8.60607736735173","8.89219579795578","7.67466734131427","6.78378303223393","8.27976667109273","8.17636898950909","5.84273498156344","6.58132195548677","9.99610442309541","9.6040588061892","9.26640987394073","9.71452264348599","10.9055187059183","13.533539597916","14.8878164053596","13.5203120988134","17.050154408499","13.4637885101365","13.9566618361012","16.2610296821331","17.4398268885661","16.6073784848506","14.7105517072094","10.6715754942756","8.39759646345711","9.8193918847198","11.2949551187319","10.3438415418189","",
"France","FRA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","",
"France","FRA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16358000000","17748000000","17490000000","18819000000","25204000000","22537000000","22611000000","23779000000","28075000000","29469000000","31347000000","32347000000","37898000000","40928000000","36991000000","38297000000","44725000000","39836000000","42183000000","48777000000","39521000000","40436000000","44192000000","48790000000","51627000000","",
"France","FRA","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","","","100","","","",
"France","FRA","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.048","","","","","1.05","","","","","1.054","","","","","1.054","","","","","1.053","","","","","1.051","","","1.052","","1.052","","","","","1.053","","","","","1.049","","","","","1.047","1.047","1.047","1.047","1.047","1.047","1.047","1.048","1.048","1.049","1.049","1.049","1.049","",
"France","FRA","Population ages 60-64, female (% of female population)","SP.POP.6064.FE.5Y","5.54612187862719","5.55791558947675","5.57530639461148","5.59468782810186","5.60991685727836","5.61774207449686","5.59575553870554","5.56680000468395","5.53221886722504","5.49702480626147","5.46228376907918","5.42197892444053","5.4036756385858","5.36578585597228","5.24643946273657","5.01768599301337","4.67459606520949","4.21613647281635","3.7548150487966","3.46143662488676","3.4308795666653","3.63551439103717","4.08599671996096","4.655395660034","5.15287009080602","5.46677067743484","5.60330034205854","5.58645083790112","5.47090689657579","5.3470185562788","5.26902247074518","5.21617544911776","5.19155599841142","5.17946127655977","5.15290811375696","5.0967561205422","5.01906027630319","4.93207977491083","4.83766170933283","4.73720732730408","4.63492715134203","4.52047085136785","4.39344200385061","4.30036765068016","4.31068033485538","4.45962167313501","4.72242249232056","5.12276388428432","5.58090179592003","5.97568831273202","6.23431186383046","6.37374708300462","6.39036552475483","6.32395658785282","6.24289753128849","6.1899735467923","6.15294067573148","6.13139247575466","6.12589844515989","6.13223766283809","6.14664978957418",
"France","FRA","Population ages 20-24, female (% of female population)","SP.POP.2024.FE.5Y","6.01167298465069","5.8329873093744","5.6387894574746","5.49103331814655","5.47910026378335","5.64875138456549","5.97861966687268","6.49318473475522","7.08499568294789","7.58998200575039","7.90934670022662","8.0756359713903","8.06843106882557","7.9458415098389","7.80722786603973","7.7139454733639","7.63392556637416","7.58124250238632","7.55274064402248","7.53636960079228","7.52495627543662","7.54203764366028","7.56733046084649","7.59343422589719","7.60904303425379","7.60634159771835","7.56883022915286","7.51572802514543","7.45189767704564","7.38710000242847","7.32872275447241","7.27865371827562","7.23774971668797","7.18884633446897","7.10504585658691","6.97260128571114","6.80149553805403","6.57994627072513","6.34532501940742","6.15375904354539","6.038368922153","5.99980080084337","6.03443672134194","6.11304638764392","6.18778303524302","6.22901679873989","6.23132768896248","6.2024147992753","6.1475333198447","6.07784740447261","6.0024065886193","5.9247401922392","5.82892784190821","5.72425550010168","5.62636871612391","5.54823553576866","5.5120417248856","5.48638615560246","5.46694271254569","5.44763900936036","5.4270567516628",
