"Country Code","Region","IncomeGroup","SpecialNotes","TableName",
"FRA","Europe & Central Asia","High income","The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","France",
"GBR","Europe & Central Asia","High income","","United Kingdom",
"JPN","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Japan",
"USA","North America","High income","","United States",
