Code STIF;Nom de Ligne;Origine;Destination;Accessibilité UFR;Rampe;Annonce sonore prochain arrêt;Annonce visuelle prochain arrêt
1001007590001;N31;JUVISY-RER;GARE DE LYON;0;0;1;0
1001001390001;139;PORTE DE LA VILLETTE;SAINT-OUEN RER;1;1;1;1
1001007650001;N45;HOPITAL DE MONTFERMEIL;GARE DE L'EST;0;0;1;0
1001001400001;140;GABRIEL PERI-METRO;GARE D'ARGENTEUIL;1;1;1;1
1001007690001;N63;MASSY-PALAISEAU RER;GARE MONTPARNASSE;1;1;1;0
1001001440001;144;LA DEFENSE-METRO-RER-TRAMWAY;RUEIL-MALMAISON RER;1;1;1;0
1001007710001;N71;SAINT-MAUR-DES-FOSSES RER;MARCHE INTERNATIONAL DE RUNGIS;1;1;1;0
1001001690001;169;HOPITAL EUROPEEN GEORGES POMPIDOU;PONT DE SEVRES-METRO;1;1;1;1
1001007750001;N01;GARE DE L'EST;GARE DE L'EST.;1;1;1;0
1001001720001;172;BOURG-LA-REINE RER;L'ECHAT-PARKING;1;1;1;1
1001007900001;N122;SAINT-REMY-LES-CHEVREUSE RER;CHATELET;0;0;1;0
1001001750001;175;PORTE DE SAINT-CLOUD;GABRIEL PERI-METRO;1;1;1;0
1001007910001;N153;SAINT-GERMAIN-EN-LAYE RER;GARE SAINT-LAZARE;1;1;1;0
1001001760001;176;PONT DE NEUILLY-METRO;PETIT GENNEVILLIERS;1;1;1;0
1001120120001;T2;LA DÉFENSE;ISSY - VAL DE SEINE;1;0;1;0
1001001820001;182;MAIRIE D'IVRY-METRO;VILLENEUVE-TRIAGE RER;1;1;1;0
1001120150001;T5;MARCHE DE SAINT-DENIS;GARGES-SARCELLES RER;1;0;1;1
1001001920001;192;ROBINSON RER;MARCHE INTERNATIONAL DE RUNGIS;1;0;1;0
1001100010001;1;CHÂTEAU DE VINCENNES;LA DÉFENSE;0;0;1;1
1001001940001;194;PORTE D'ORLEANS-METRO;LYCEE POLYVALENT;1;1;1;1
1001100060001;6;CHARLES DE GAULLE - ÉTOILE;NATION;0;0;0;0
1001001950001;195;CHATILLON - MONTROUGE-METRO;ROBINSON RER;1;1;1;1
1001100120001;12;PORTE DE LA CHAPELLE;MAIRIE D'ISSY;0;0;0;0
1001002060001;206;NOISY LE GRAND MONT D'EST-RER;EMERAINVILLE-PONTAULT COMBAULT-SNCF;1;1;1;1
1001002080001;208B;PLACE DE VERDUN;CHAMPIGNY - SAINT-MAUR RER;1;1;1;1
