Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2018-07;0087645440;Vic-sur-Cère;0;0;2;0;2
2018-07;0087576009;Vierzon;170;29;29;4;232
2018-07;0087613893;Villefranche-de-Rouergue;0;0;0;0;0
2018-07;0087576884;Villefranche-sur-Cher;1;0;1;0;2
2018-07;0087721332;Villefranche-sur-Saône;8;11;1;1;21
2018-07;0087276220;Villiers-le-Bel - Gonesse - Arnouville;0;0;0;0;0
2018-07;0087681312;Viry-Châtillon;0;0;0;0;0
2018-07;0087471508;Vitré;13;3;5;0;21
2018-07;0087144279;Vittel;2;0;3;0;5
2018-07;0087747287;Voiron;23;19;27;0;69
2018-08;0087271494;Aéroport Charles de Gaulle 2 TGV;263;240;380;13;896
2018-08;0087586008;Agen;211;76;95;5;387
2018-08;0087484006;Angers Saint-Laud;458;241;195;28;922
2018-08;0087745497;Annemasse;26;8;11;1;46
2018-08;0087286146;Armentières;15;23;0;0;38
2018-08;0087342014;Arras;121;79;55;3;258
2018-08;0087386730;Aubergenville Élisabethville;1;0;0;0;1
2018-08;0087271411;Aulnay-sous-Bois;0;4;0;0;4
2018-08;0087726760;Aurec;0;0;0;0;0
2018-08;0087694570;Autun;1;0;1;0;2
2018-08;0087543207;Avenue du Président Kennedy Maison de Radio France;0;0;0;0;0
2018-08;0087765008;Avignon Centre;137;41;31;4;213
2018-08;0087394411;Bailleau-le-pin;0;0;0;0;0
2018-08;0087175042;Bar-le-Duc;39;25;2;0;66
2018-08;0087745000;Bellegarde;143;85;74;5;307
2018-08;0087193250;Béning;5;0;0;1;6
2018-08;0087381152;Boissy-l'Aillerie;0;0;0;0;0
2018-08;0087415893;Bonnières;0;0;0;0;0
2018-08;0087317586;Boulogne;46;30;19;0;95
2018-08;0087545178;Bouray;0;0;0;0;0
2018-08;0087743005;Bourg-en-Bresse;102;46;25;2;175
2018-08;0087576207;Bourges;113;31;21;4;169
2018-08;0087487249;Bressuire;3;0;0;0;3
2018-08;0087317263;Calais;26;40;8;0;74
2018-08;0087615039;Castelnaudary;14;3;4;0;21
2018-08;0087611897;Castelsarrasin;0;0;0;0;0
2018-08;0087615468;Castres;37;10;7;0;54
2018-08;0087381905;Cergy Préfecture;1;40;0;2;43
2018-08;0087174003;Châlons-en-Champagne;26;11;4;0;41
2018-08;0087725002;Chalon-sur-Saône;60;22;37;1;120
2018-08;0087276030;Champ de Courses d'Enghien;0;0;0;0;0
2018-08;0087116111;Chelles - Gournay;0;7;0;0;7
2018-08;0087444877;Cherbourg;40;46;18;5;109
2018-08;0087484303;Cholet;52;18;18;8;96
2018-08;0087696807;Clamecy;1;3;3;0;7
2018-08;0087696146;Cosne-sur-Loire;8;2;8;0;18
2018-08;0087394221;Courville-sur-Eure;0;0;0;0;0
2018-08;0087142125;Culmont - Chalindrey;20;2;2;0;24
2018-08;0087673202;Dax;287;53;190;9;539
2018-08;0087415018;Dieppe;48;19;14;0;81
2018-08;0087478164;Dinan;11;4;1;0;16
2018-08;0087478073;Dol;35;25;5;0;65
2018-08;0087393488;Dreux;7;6;0;0;13
2018-08;0087281006;Dunkerque;94;141;25;1;261
2018-08;0087763466;Embrun;9;8;2;0;19
2018-08;0087381418;Éragny - Neuville;0;0;0;0;0
2018-08;0087313387;Estrées-Saint-Denis;0;0;0;0;0
2018-08;0087545137;Étampes;3;0;0;0;3
2018-08;0087694141;Étang;5;0;0;0;5
2018-08;0087545145;Étréchy;0;0;0;0;0
2018-08;0087681387;Évry - Courcouronnes;4;15;0;0;19
2018-08;0087592121;Eymoutiers Vassivière;2;0;0;0;2
2018-08;0087682211;Fontainebleau - Avon;2;0;0;0;2
2018-08;0087393405;Fontenay-le-Fleury;1;0;0;0;1
2018-08;0087276071;Franconville - Le Plessis-Bouchard;0;0;0;0;0
2018-08;0087324095;Futuroscope;2;11;2;0;15
2018-08;0087276196;Garges - Sarcelles;0;1;0;0;1
2018-08;0087381244;Gisors;0;0;0;0;0
2018-08;0087722405;Givors;7;0;1;0;8
2018-08;0087116012;Gretz-Armainvilliers;0;0;0;0;0
2018-08;0087681379;Grigny Centre;0;3;0;0;3
2018-08;0087276592;Gros Noyer Saint-Prix;0;0;0;0;0
2018-08;0087473207;Guingamp;89;36;99;9;233
2018-08;0087393462;Houdan;1;0;0;0;1
2018-08;0087713859;Is-sur-Tille;0;0;0;0;0
2018-08;0087696195;La Charité-Sur-Loire;4;0;0;0;4
2018-08;0087271304;La Courneuve - Aubervilliers;0;0;0;0;0
2018-08;0087381871;La Frette - Montigny;0;0;0;0;0
2018-08;0087394254;La Loupe;5;1;0;0;6
2018-08;0087486019;La Roche-sur-Yon;109;47;52;8;216
2018-08;0087723478;La Tour-du-Pin;13;1;2;0;16
2018-08;0087723395;La Verpillière;1;0;0;0;1
2018-08;0087734319;Langeac;0;1;0;0;1
2018-08;0087571828;Langeais;3;0;1;0;4
2018-08;0087671123;Lannemezan;20;3;6;1;30
2018-08;0087473223;Lannion;17;9;26;1;53
2018-08;0087296012;Laon;34;10;2;0;46
2018-08;0087611483;Latour-de-Carol - Enveitg;10;3;4;1;18
2018-08;0087381202;Lavilletertre;0;0;0;0;0
2018-08;0087271478;Le Blanc-Mesnil;0;0;0;0;0
2018-08;0087694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;63;20;33;0;116
2018-08;0087393298;Le Perray;0;0;0;0;0
2018-08;0087271551;Le Plessis-Belleville;0;0;0;0;0
2018-08;0087381095;Le Stade;0;0;0;0;0
2018-08;0087113779;Les Boullereaux Champigny;0;0;0;0;0
2018-08;0087393280;Les Essarts-le-Roi;0;0;0;0;0
2018-08;0087382473;L'Étang-la-Ville;0;0;0;0;0
2018-08;0087444265;Lisieux;98;44;43;3;188
