,Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,NB_CORR
348,52,RER,LE VESINET-CENTRE,760964,A,0,0,0.0,0.0,Le Vésinet,0.0,1
349,272,Métro,EUROPE,769896,3,0,0,0.0,0.0,Paris,8.0,1
350,53,RER,FONTENAY-AUX-ROSES,665966,B,0,0,0.0,0.0,Fontenay aux roses,0.0,1
351,273,Métro,SULLY-MORLAND,767233,7,0,0,0.0,0.0,Paris,4.0,1
352,54,RER,PALAISEAU,518346,B,0,0,0.0,0.0,Palaiseau,0.0,1
353,285,Métro,PICPUS,595063,6,0,0,0.0,0.0,Paris,12.0,1
354,58,RER,LE GUICHET,389736,B,0,0,0.0,0.0,Orsay,0.0,1
355,295,Métro,SAINT-FARGEAU,339164,3bis,0,0,0.0,0.0,Paris,8.0,1
356,63,RER,MASSY-VERRIERES,296614,B,0,0,0.0,0.0,Massy,0.0,1
357,10,RER,CHARLES DE GAULLE-ETOILE-RER,4070214,A,0,0,0.0,0.0,Paris,17.0,1
358,11,RER,AUBER,3956779,A,0,0,0.0,0.0,Paris,9.0,1
359,14,RER,RUEIL-MALMAISON,3408182,A,0,0,0.0,0.0,Rueil-Malmaison,0.0,1
360,20,RER,SAINT-GERMAIN-EN-LAYE,2644464,A,0,0,0.0,0.0,Saint-Germain-en-Laye,0.0,1
361,22,RER,TORCY,2448031,A,0,0,0.0,0.0,Torcy,0.0,1
362,24,RER,DENFERT-ROCHEREAU-RER,2351759,B,0,0,0.0,0.0,Paris,14.0,1
363,27,RER,CHAMPIGNY,2209619,A,0,0,0.0,0.0,Saint-Maur des Fossés,0.0,1
364,29,RER,SAINT-MAUR-CRETEIL,2151064,A,0,0,0.0,0.0,Saint-Maur des Fossés,0.0,1
365,40,RER,SUCY-BONNEUIL,1546784,A,0,0,0.0,0.0,Sucy-en-Brie,0.0,1
366,45,RER,LE PARC DE SAINT-MAUR,1240624,A,0,0,0.0,0.0,Saint-Maur des Fossés,0.0,1
367,47,RER,LA VARENNE-CHENNEVIERES,1209310,A,0,0,0.0,0.0,saint-Maur des Fossés,0.0,1
368,56,RER,PALAISEAU-VILLEBON,444921,B,0,0,0.0,0.0,Palaiseau,0.0,1
369,60,RER,SCEAUX,358354,B,0,0,0.0,0.0,sceaux,0.0,1
370,65,RER,COURCELLE-SUR-YVETTE,280118,B,0,0,0.0,0.0,Gif sur Yvette,0.0,1
