,Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,NB_CORR
134,271,Métro,FELIX FAURE,776924,8,0,0,0.0,0.0,Paris,15.0,1
135,278,Métro,MIRABEAU,724167,10,0,0,0.0,0.0,Paris,16.0,1
136,279,Métro,PONT MARIE,721712,7,0,0,0.0,0.0,Paris,4.0,1
137,283,Métro,PORTE DE CHOISY,647656,7,0,0,0.0,0.0,Paris,13.0,1
138,288,Métro,VANEAU,524526,10,0,0,0.0,0.0,Paris,7.0,1
139,291,Métro,BOTZARIS,511339,7bis,0,0,0.0,0.0,Paris,19.0,1
140,292,Métro,RENNES,506779,12,0,0,0.0,0.0,Paris,6.0,1
141,6,Métro,BIBLIOTHEQUE,10002396,14,0,0,0.0,0.0,Paris,13.0,1
142,299,Métro,PORTE D'AUTEUIL,262784,10,0,0,0.0,0.0,Paris,16.0,1
143,11,Métro,CHATELET,6030558,1,4,7,11.0,14.0,Paris,1.0,5
144,301,Métro,PRE-SAINT-GERVAIS,226935,7bis,0,0,0.0,0.0,Paris,19.0,1
145,15,Métro,PORTE DE CLIGNANCOURT,4902116,4,0,0,0.0,0.0,Paris,18.0,1
146,12,RER,CITE UNIVERSITAIRE,3853590,B,0,0,0.0,0.0,Paris,14.0,1
147,16,Métro,NATION,4860619,1,2,6,9.0,0.0,Paris,12.0,4
148,25,RER,NANTERRE-VILLE,2318006,A,0,0,0.0,0.0,Nanterre,0.0,1
149,22,Métro,FRANKLIN D. ROOSEVELT,4691237,1,9,0,0.0,0.0,Paris,8.0,2
150,28,RER,MARNE-LA-VALLEE-CHESSY,2192200,A,0,0,0.0,0.0,Montévrain,0.0,1
151,26,Métro,STRASBOURG-SAINT-DENIS,4275630,4,8,9,0.0,0.0,Paris,2.0,3
152,44,RER,GENTILLY,1248514,B,0,0,0.0,0.0,Gentilly,0.0,1
153,31,Métro,LA CHAPELLE,3825879,2,0,0,0.0,0.0,Paris,9.0,1
154,48,RER,ROBINSON,1160290,B,0,0,0.0,0.0,Sceaux,0.0,1
155,33,Métro,CHATILLON-MONTROUGE,3738453,13,0,0,0.0,0.0,Chatillon,0.0,1
156,51,RER,LOGNES,944270,A,0,0,0.0,0.0,Lognes,0.0,1
157,40,Métro,BARBES-ROCHECHOUART,3530780,2,4,0,0.0,0.0,Paris,18.0,2
158,61,RER,BURES-SUR-YVETTE,333714,B,0,0,0.0,0.0,Bures sur Yvette,0.0,1
159,41,Métro,OPERA,3519216,3,7,8,0.0,0.0,Paris,9.0,3
160,45,Métro,SAINT-PAUL,3357660,1,0,0,0.0,0.0,Paris,4.0,1
161,53,Métro,CHARLES DE GAULLE-ETOILE,3152200,1,2,6,0.0,0.0,Paris,8.0,3
162,60,Métro,CROIX DE CHAVAUX,2839164,9,0,0,0.0,0.0,Montreuil,0.0,1
163,65,Métro,CRIMEE,2688758,7,0,0,0.0,0.0,Paris,19.0,1
164,68,Métro,GABRIEL PERI,2667469,13,0,0,0.0,0.0,Asnières,0.0,1
165,73,Métro,PASTEUR,2625552,6,12,0,0.0,0.0,Paris,9.0,2
166,74,Métro,MIROMESNIL,2618473,9,13,0,0.0,0.0,Paris,8.0,2
167,75,Métro,CONCORDE,2617251,1,8,12,0.0,0.0,Paris,8.0,3
168,76,Métro,BASILIQUE DE SAINT-DENIS,2616421,13,0,0,0.0,0.0,Saint Denis,0.0,1
169,79,Métro,PLAISANCE,2590236,13,0,0,0.0,0.0,Paris,14.0,1
170,86,Métro,OBERKAMPF,2462989,5,9,0,0.0,0.0,Paris,11.0,2
171,95,Métro,MAIRIE DE SAINT-OUEN,2373142,13,14,0,0.0,0.0,Saint Ouen,0.0,2
172,97,Métro,PORTE DE PANTIN,2336476,5,0,0,0.0,0.0,Paris,19.0,1
173,115,Métro,LAUMIERE,2107812,5,0,0,0.0,0.0,Paris,19.0,1
174,118,Métro,OURCQ,2064168,5,0,0,0.0,0.0,Paris,19.0,1
175,119,Métro,PORTE DE SAINT-OUEN,2060676,13,0,0,0.0,0.0,Paris,17.0,1
176,120,Métro,PORTE DES LILAS,2021179,3bis,11,0,0.0,0.0,Paris,20.0,2
177,125,Métro,CRETEIL-UNIVERSITE,1935234,8,0,0,0.0,0.0,Créteil,0.0,1
178,130,Métro,ARTS ET METIERS,1844332,3,11,0,0.0,0.0,Paris,3.0,2
179,131,Métro,DUPLEIX,1839499,6,0,0,0.0,0.0,Paris,15.0,1
180,136,Métro,JULES JOFFRIN,1806947,12,0,0,0.0,0.0,Paris,18.0,1
181,137,Métro,MAIRIE D'IVRY,1800848,7,0,0,0.0,0.0,Ivry,0.0,1
182,142,Métro,LES GOBELINS,1733427,7,0,0,0.0,0.0,Paris,13.0,1
183,145,Métro,VAUGIRARD,1709593,12,0,0,0.0,0.0,Paris,15.0,1
184,147,Métro,RUE DE LA POMPE,1700312,9,0,0,0.0,0.0,Paris,16.0,1
185,152,Métro,BLANCHE,1680852,2,0,0,0.0,0.0,Paris,9.0,1
186,154,Métro,ANATOLE FRANCE,1668656,3,0,0,0.0,0.0,Levallois-Perret,0.0,1
187,159,Métro,COMMERCE,1616379,8,0,0,0.0,0.0,Paris,15.0,1
188,161,Métro,SENTIER,1601006,3,0,0,0.0,0.0,Paris,3.0,1
189,162,Métro,BOULOGNE-PONT DE SAINT-CLOUD,1588193,10,0,0,0.0,0.0,Boulogne Billancourt,0.0,1
190,172,Métro,MARX DORMOY,1544166,12,0,0,0.0,0.0,Paris,18.0,1
191,177,Métro,LA FOURCHE,1499508,13,0,0,0.0,0.0,Paris,8.0,1
192,180,Métro,PORTE D'ITALIE,1458709,7,0,0,0.0,0.0,Paris,13.0,1
193,183,Métro,BOURSE,1417882,3,0,0,0.0,0.0,Paris,2.0,1
194,196,Métro,CORENTIN CARIOU,1329810,7,0,0,0.0,0.0,Paris,19.0,1
195,218,Métro,SAINT-SULPICE,1196573,4,0,0,0.0,0.0,Paris,6.0,1
196,220,Métro,TELEGRAPHE,1194040,11,0,0,0.0,0.0,Paris,20.0,1
197,227,Métro,RICHARD LENOIR,1148587,5,0,0,0.0,0.0,Paris,11.0,1
198,230,Métro,MICHEL-ANGE-AUTEUIL,1131814,9,10,0,0.0,0.0,Paris,16.0,2
199,231,Métro,LOURMEL,1120497,8,0,0,0.0,0.0,Paris,15.0,1
200,234,Métro,BUZENVAL,1080500,9,0,0,0.0,0.0,Paris,20.0,1
201,238,Métro,AVRON,1034013,2,0,0,0.0,0.0,Paris,11.0,1
202,246,Métro,MAISON BLANCHE,955254,7,0,0,0.0,0.0,Paris,13.0,1
