Ligne;Nom_gare;Adresse_gare;Code_UIC;Reperes_E_S;Observations;Signaletique_directionnelle;Adresse_de_la_sortie;Nom_de_la_sortie;Coordonnee_WGS84_Bing
C;Saint-Cyr;Place Pierre Sémard 78120 Saint-Cyr l'Ecole;87393223;Entrée et sortie 2;Accès de nuit;;Place Pierre Sémard;Entrée 2 - Place Pierre Sémard;48.798938,2.072969
L;Achères-Ville;Avenue de Conflans;87381657;Entrée et sortie;Entrée secondaire par souterrain;;Avenue de Conflans;Entrée 2 - Av de Conflans;48.581314,2.044045
C;Javel;Rond point du Pont Mirabeau 75015   Paris;87393066;Entrée N°01;facade BV;Sortie;Pont Mirabeau/Quai André citroen;Entrée 1 - Pont Mirabeau/Quai André citroen;48.846217,2.276833
C;Etampes;Place du Général Leclerc 91150   Etampes;87545137;Entrée N°02;Quai opposé au bv sur parking;Sortie Parking;parking;Entrée 2 - Parking;48.43775,2.160067
C;Egly;Impasse de la Masure 91520   Egly;87545475;Entrée N°04;quai opposé;Sortie Avenue de la Gare;Avenue de la Gare;Entrée 4 - Avenue de la Gare;48.58245,2.221967
C;Egly;Impasse de la Masure 91520   Egly;87545475;Entrée N°03;quai opposé;Sortie Allée des Joncs;Allée des Joncs;Entrée 3 - Allée des Joncs;48.582633,2.222517
L;Paris Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;87281899;Entrée et sortie 2;Rue de Rôme;;Rue de Rome Accès Quai 1;Entrée 2 - Rue de Rome Accès quai 1;48.877438,2.323029
C;Breuillet-Village;Rue de la Gare 91650   Breuillet;87545491;Entrée N°04;quai bv acces parking;"Sortie place de la Gare
parking";Rue de la Gare;Entrée 4 - place de la Gare/ parking;48.564383,2.170233
C;Chilly-Mazarin;Rue du Chemin de Fer 91380   Chilly-Mazarin;87393637;Entrée N°02;chemin à coté du bv;Sortie Zone industrielle;;Entrée 2 - Zone industrielle;48.70065,2.308183
L;Clichy-Levallois;5 place du 8 mai 1945 92110 Clichy;87381129;Entrée et sortie 1;;;Place du 8 mai 1945;Entrée 1 - Place du 8 mai 1945;48.8967,2.298163
L;Marly-le-Roi;Rue Carnot 78160 Marly le Roi;87382465;Entrée et sortie 2;;;Rue de Fontenelle;Entrée 2 - Rue de Fontenelle;48.871849,2.097148
C;Petit-Jouy-les-Loges;Chemin de Petit Jouy 78350   Les Loges-en-Jouy;87393504;Entrée N°01;;;rue du Petit Jouy;Entrée  1 - Rue du Petit Jouy;48.770633,2.146533
C;Petit-Vaux;Rue du Petit Vaux  91360   Epinay-sur-Orge;87393652;Entrée N°02;;;Rue de petit vaux;Entrée 2 - Rue de petit vaux;48.675978,2.334049
C;Saint-Michel-Notre-Dame;Quai Saint Michel 75005   Paris;87547315;Entrée N°04;;;Boulevard Saint Germain;Entrée 4 - Boulevard St Germain;48.851417,2.343467
C;Saint-Michel-Notre-Dame;Quai Saint Michel 75005   Paris;87547315;Entrée N°05;;;Boulevard Saint Germain;Entrée 5 - Boulevard St Germain;48.851233,2.343333
C;Trappes;Avenue Gabriel Péri 78 190 Trappes;87393835;Entrée et sortie 1;Entrée principale;;Avenue Gabriel Péri;Entrée 1 - Avenue Gabriel Péri;48.775016,2.006323
L;Bougival;Place Maréchal Leclerc 78170 La Celle-Saint-Cloud;87382440;Entrée et sortie 2;Parking de la gare;;Rue Cardon/ Place du Cornier;Entrée 2 - Rue Cardon/ Place du Cornier;48.854125,2.131535
C;Lardy;Rue de la Roche qui Tourne 91510   Lardy;87545160;Entrée N°02;coté BV sous terrain;"Sortie 
centre ville
rue de la roche qui tourne";Rue de la roche qui tourne;Entrée 2 - Rue de la Roche qui tourne (Centre Ville);48.520467,2.25575
C;Lardy;Rue de la Roche qui Tourne 91510   Lardy;87545160;Entrée N°03;Quai opposé au bv;Sortie - Rue des vignes;rue des vignes;Entrée 3 - Rue des Vignes;48.52105,2.2559
C;Neuilly-Porte Maillot;82, Avenue de la Grande Armée 75017   Paris;87381020;Entrée N°03;;"Sortie rue Waldek Rousseau
rue Brunel";Boulevard Péreire;Entrée 3 - Rue Waldek Rousseau / Rue Brunel;48.87955,2.287133
C;Neuilly-Porte Maillot;82, Avenue de la Grande Armée 75017   Paris;87381020;Entrée N°02;;Sortie place de la Porte Maillot;Place de la Porte Maillot;Entrée 2 - Place de la Porte Maillot;48.877867,2.284533
C;Epinay-sur-Orge;1, Place Stalingrad 91360   Epinay-sur-Orge;87545228;Entrée N°04;;;Rue Pasteur;Entrée 4 - Rue Pasteur;48.669067,2.33135
L;Vallées (Les);Place des la gare des Vallées 92250 La Garenne Colombes;87386300;Entrée et sortie 3;;;Rue du Transvaal;Entrée 3 - Rue du Transvaal;48.913567,2.256965
L;Montreuil;Rue de la Bonne Aventure 78000 Versailles;87382879;Entrée et sortie 1;;;Rue de la Bonne aventure;Entrée 1 - Rue de la Bonne aventure;48.806786,2.151179
C;Pont du Garigliano - Boulevard Victor;193, Quai André Citroën 75015 Paris;87393322;Entrée N°03;;;;Entrée 2 - Quai André Citroên;48.83945,2.270483
C;Rungis-la-Fraternelle;Rue des Alpes 94150   Rungis;87546291;Entrée N°02;Quai opposé au bv;"Sortie Rue des Alpes
Sortie Rue des Vosges
Bus";Rue des Vosges;Entrée 2 - Rue des Vosges;48.7406,2.352933
C;Saint-Gratien;Rue de Verdun 95210 Saint-Gratien;87276170;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Rue de Verdun;48.963439,2.285371
C;Saint-Quentin-en-Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;87393843;Entrée et sortie 3;;;Avenue des Près;Entrée 3 - Avenue des Près;48.787305,2.045076
C;Savigny-sur-Orge;Place de la Gare 91600   Savigny-sur-Orge;87545236;Entrée N°02;coté droit BV;;Place de la Gare;Entrée 2 - Place de la Gare;48.675983,2.351583
L;Celle-Saint-Cloud (La);Place Jean Mermoz 78170 La Celle Saint Cloud;87382432;Entrée et sortie 1;Coté Bus;;Avenue Pierre Corneille;Entrée 1 - Avenue Pierre Corneille;48.842803,2.138389
L;Courbevoie;Rue de Sébastopol 92400 Courbevoie;87382200;Entrée et sortie 5;Près du pont;;Rue Sébastopol/ Rue Jean Pierre Timbaud;Entrée 5 - Rue Sébastopol/ Rue Jean Pierre Timbaud;48.899379,2.250815
C;Ardoines (Les);Rue Léon Geoffroy 94400   Vitry-sur-Seine;87492108;Entrée N°01;façade BV;Sortie Gare;Rue Léon Geffroy;Entrée 1 - Gare;48.78285,2.40895
L;Sèvres-Ville-d'Avray;Place Pierre Brosselette 92310 Sèvres;87382341;Entrée et sortie 1;;;Place Pierre Brosselette;Entrée 1 - Place Pierre Brosselette;48.827517,2.200474
C;Ermont Eaubonne;Rue des Bussys - 95120 Ermont;87276065;Entrée 5;Souterrain accès gare routière et accès CAB;Sortie rue de Callais;Rue des Callais;Entrée 5 - Rue des Callais;48.980868,2.271828
C;Epinay-sur-Seine;Place de la Nouvelle Gare, 93800 Epinay-sur-Seine;87271148;Entrée et Sortie;Entrée Principale;;;Entrée 2 - Place de la Nouvelle Gare;48.9542,2.302609
C;Champ de Mars - Tour Eiffel bir hakeim;Quai Branly ( pont Bir Hakeim ) 75015   Paris;87393058;Entrée N°01;Quai pres de la seine;"Sortie 
Bd Grenelle 
Quai Grenelle
 Tour Eiffel";Quai Branly;Entrée  1 - Bd Grenelle / Quai Grenelle /Tour Eiffel;48.855148,2.289173
C;Avenue Henri-Martin;4, Place Tattegrain 75016   Paris;87381046;Entreé N°02;;"Sortie 
Avenue Victor Hugo";Bld Flandrin;Entrée 2 - Avenue Victor Hugo;48.864327,2.272251
C;Gravigny-Balizy;Rue des Templiers 91160   Longjumeau;87393645;Entrée N°01;;Sortie coté Balizy;Rue des Templiers;Entrée 1 - Rue des Templiers (Coté Balizy);48.68535,2.317683
C;Issy Val-de-Seine;87, Avenue de Verdun 92130   Issy-les-Moulineaux;87393306;Entreé N°04;;;Rue Rouget de l'isle;Entrée 4 - Rue Rouget de l'isle;48.829467,2.262717
C;Ivry-sur-Seine;Place Marcel Cachin 94200   Ivry-sur-Seine;87545301;Entrée N°03;quai opposé au bv;;Rue de la Gare;Entrée 3 - Rue de la Gare;48.814716,2.39157
C;Petit-Jouy-les-Loges;Chemin de Petit Jouy 78350   Les Loges-en-Jouy;87393504;Entrée N°02;;;rue Charles De gaulle;Entrée 2 - Rue Charles De gaulle;48.771,2.14705
L;Conflans-fin-d'Oise;Rue des côtes de Vannes (Passerelle);87381459;Entrée et sortie;Entrée 3 par passerelle de correspondance ALJ;;Rue des côtes de Vannes (Passerelle);Entrée 3 - Rue des côtes de Vannes (Passerelle);49.593196,2.43018
L;Asnières-sur-Seine;Rue de la Station 92600 Asnières sur Seine;87381137;Entrée et sortie 2;;;Rue d'Anjou/ Rue de Bretagne;Entrée 2 - Rue d'Anjou/ Rue de Bretagne;48.905575,2.282913
L;La Defense;Rue Carpeaux - 92800 Puteaux;87382218;Entrée 3;Gare routière RATP;Sortie F - Calder - Miro;Place de la défense;Entrée F - Calder - Miro - Place de la Défense;48.8914,2.24039
C;Saint-Michel-sur-Orge;Rue Anatole France 91240   Saint-Michel-sur-Orge;87545202;Entrée N°01;façade BV;Sortie rue Anatole France;Rue anatole France;Entrée 1 - Rue Anatole France;48.63555,2.306617
C;Sermaise;Route de Dourdan 91530   Sermaise;87545517;Entreé N°02;Quai coté Bv;"Sortie 
avenue de Dourdan";Avenue de Dourdan;Entrée  2 - Avenue de Dourdan;48.535533,2.069333
C;Saint-Ouen-l'Aumône-Liesse;Place Montesquieu 95310 Saint-Ouen-l'Aumône;87276100;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Place Montesquieu;49.033839,2.127847
C;Ermont Eaubonne;Rue des Bussys - 95120 Ermont;87276065;Entrée 2;Gare Routière;Sortie Gare routière;Place Jean Esprangle;Entrée 2 - Gare routière - Place Jean Esprangle;48.98028,2.271466
C;Chilly-Mazarin;Rue du Chemin de Fer 91380   Chilly-Mazarin;87393637;Entrée N°03;Quai opposé au bv;;;Entrée 3 - Rue du Chemin de Fer;48.7005,2.308267
C;Arpajon;Rue Aristide Briand 91290   Arpajon;87545467;Entreé N°02;coté droit BV;Sortie place de la Gare;Place de la Gare;Entrée 2 - Place de la gare;48.586183,2.240883
C;Avenue Henri-Martin;4, Place Tattegrain 75016   Paris;87381046;Entrée N°01;;"Sortie 
Rue Adolphe Yvon";Bld Flandrin;Entrée 1 - Rue Adolphe Yvon;48.864403,2.272009
C;Boulainvilliers;52, Rue des Vignes 75016   Paris;87543181;Entrée N°01;façade BV;;Rue de Boulainvilliers;Entrée 1 - Rue des Boulainvilliers;48.856433,2.274867
C;Norville-Saint-Germain-les-Arpajon (La);Rue de la Gare 91290   La Norville;87545459;Entrée N°03;;Sortie rue de la Gare;Rue de la gare;Entrée 3 - Rue de la Gare;48.591833,2.2674
C;Pierrelaye;Place du 8 Mai 1945 95480 Pierrelaye;87276097;Entrée et Sortie;Entrée Principale;;Place du 8 Mai 1945;Entrée 1 - Place du 8 Mai 1945;49.01954,2.153691
C;Ivry-sur-Seine;Place Marcel Cachin 94200   Ivry-sur-Seine;87545301;Entrée N°01;facade bv;;Place Marcel Cachin;Entrée 1 - Place Marcel Cachin;48.814298,2.390972
L;Puteaux;2 Rue Ferdinand Pelloutier 92800 Puteaux;87382382;Entrée et sortie 3;;;Parc du Moulin/ Rue Cartault/Rue Fernand Pelloutier;Entrée 3 - Parc du Moulin/ Rue Cartault/Rue Fernand Pelloutier;48.88306,2.233065
L;Mareil Marly;Rue des Frères des Telliers 78750 Mareil-Marly;87382812;Entrée et sortie 1;;;Rue des Frères des Talliers;Entrée 1 - Rue des Frères des Talliers;48.881042,2.078822
C;Norville-Saint-Germain-les-Arpajon (La);Rue de la Gare 91290   La Norville;87545459;Entrée N°01;facade bv;Sortie Rue de la Gare coté place;Rue de la gare;Entrée 1 - Rue de la Gare (Coté Place);48.591683,2.267567
C;Marolles-en-Hurepoix;Place de la Gare 91630   Marolles-en-Hurepoix;87545186;Entrée N°03;Quai opposé au bv;Sortie Rue de la Gare;Rue de la Gare;Entrée 3 - Place de la Gare;48.565018,2.291292
C;Marolles-en-Hurepoix;Place de la Gare 91630   Marolles-en-Hurepoix;87545186;Entrée N°01;façade BV;;;Entrée 1 - Place de la Gare;48.565067,2.29065
C;Breuillet-Bruyères-le-Châtel;Route d'Arpajon 91650   Breuillet;87545483;Entrée N°03;Quai opposé bv;Sortie Rue Nouvelle;Rue Nouvelle;Entrée 3 - Rue Nouvelle;48.577533,2.191783
C;Avenue du Président Kennedy;6, Rue du Ranelagh 75016   Paris;87543207;Entrée N°02;;Sortie rue du docteur germain see;Sortie rue du docteur germain see;Entrée 2 - Rue du Docteur Germain See;48.853083,2.28055
C;Chamarande;Place de la Gare 91730   Chamarande;87545152;Entrée N°03;Début de quai opposé au bv;Sortie rue des écoles ou Chemin latéral;Rue des écoles;Entrée 3 - Rue des Ecoles / Chemin latéral;48.51481,2.216142
C;Dourdan-la-Forêt;Chemin du Champ de course 91410   Dourdan;87540179;Entrée N°01;Entrée sur parking;;Chemin du champ de course;Entrée 1 - Chemin du Champ de course / Parking;48.534876,1.995185
C;Lardy;Rue de la Roche qui Tourne 91510   Lardy;87545160;Entrée N°01;façade BV;;Rue de la roche qui tourne;Entrée 1 - Rue de la Roche qui tourne;48.520573,2.255815
C;Epinay-sur-Orge;1, Place Stalingrad 91360   Epinay-sur-Orge;87545228;Entrée N°02;coté droit BV;;Place Stalingrad;Entrée 2 - Place Stalingrad;48.6694,2.331733
C;Versailles-Chantiers;4 Rue de l'Abbé Rousseau 78000 Versailles;87393009;Entrée et sortie 1;Entrée et sortie Principale;;Rue de l'Abbé Rousseau;Entrée 1 - Rue de l'Abbé Rousseau;48.795858,2.135806
C;Igny;1, Avenue Jean Jaurès 91430   Igny;87393561;Entrée N°02;quai opposé au bv;Sortie Centre Ville;Av de la Division Leclerc;Entrée 2 -  Av de la Division Leclerc (Centre Ville);48.73995,2.230833
C;Ermont Eaubonne;Rue des Bussys - 95120 Ermont;87276065;Entrée 1;Gare Routière;Sortie Gare routière;Place Jean Esprangle;Entrée 1 - Gare routière - Place Jean Esprangle;48.980287,2.271077
C;Issy;87, Avenue de Verdun 92130   Issy-les-Moulineaux;87393074;Entrée N°01;facade bv;Sortie;Avenue de Verdun;Entrée 1 - Avenue de Verdun;48.82015,2.259267
C;Choisy-le-Roi;Avenue du 8 mai 45 94600   Choisy-le-Roi;87545285;Entrée N°01;facade bv;;Avenue du 08 mai 1945;Entrée 1 - Avenue du 8 mai 45;48.764417,2.410583
C;Ablon;Place de la Libération 94480   Ablon-sur-Seine;87545269;Entrée N°01;BV;Sortie Avenue du Général De Gaulle;Place de la Libération;Entrée 1 -  Avenue du Général De Gaulle;48.725433,2.419183
L;Versailles Rive Droite;40, Rue du Maréchal Foch 78000   Versailles;87382861;entrée et sortie 2;;;Passage François Pilâtre de Rozier;Entrée 2 - Passage François Pilâtre de Rozier;48.809837,2.135133
L;Saint-Germain Bel Air Fourqueux;Place du Préfet Claude Erignac 78100 Saint Germain en Laye;87366922;Entrer et sortie 2;;;Rue Franz Schubert;Entrée 2 - Rue Franz Schubert;48.894975,2.069941
C;Avenue Foch;91 Boulevard Flandrin 75016   Paris;87381038;Entrée N°02;;Sortie rue de Longchamp;rue de Longchamp;Entrée 1 - Rue de Longchamp;48.868739,2.274038
C;Bouray;Paté de Lardy 91850 Lardy;87545178;Entrée N°03;Début de quai opposé au bv;Sortie rue d'arpajon;Rue d'arpajon;Entrée 3 - Rue d'Arpajon;48.533983,2.29085
C;Bouray;Paté de Lardy 91850  Lardy;87545178;Entreé N°02;coté Gauche du Bv;;Gare routière;Entrée 2 - Gare routière;48.533,2.2905
L;La Defense;Rue Carpeaux - 92800 Puteaux;87382218;Entrée 4;Entrée sur le parvis;Sortie G - Coupole;Rond point de la défense;Entrée G - Coupole - Rond point de la Défense;48.89165,2.24217
L;L'ETANG LA VILLE;;87382473;;;;;;
C;Grésillons (Les);Avenue des Gresillons 923230 Genneviliers;87272146;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Avenue des Gresillons;48.920019,2.314484
C;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine;87545293;Entrée N°02;escalier gauche du bv;;Place de la Gare;Entrée 2 - Place de la Gare;48.8008,2.4022
C;Issy;87, Avenue de Verdun 92130   Issy-les-Moulineaux;87393074;Entrée N°02;quai opposé bv;"Sortie Allée des carrières
Sortie Bld Rodin";Boulevard Rodin;Entrée 2 - Allée des carrières / Bld Rodin;48.819783,2.259417
C;Invalides;2, Rue Esnault Pelterie 75007   Paris;87393033;Entrée N°01;;Sortie quai d'Orsay;Quai d'orsay;Entrée 1 - Quai d'Orsay;48.862533,2.3149
C;Choisy-le-Roi;Avenue du 8 mai 45 94600   Choisy-le-Roi;87545285;Entrée N°03;quai opposé bv;;;Entrée 3 - Avenue du 8 mai 45;48.764917,2.41175
C;Versailles Rive Gauche - Château;5, Avenue du Général De Gaulle 78000   Versailles;87393157;Entrée N°02;façade bv;;Avenue du Général de Gaulle;Entrée 2- Avenue du Général de Gaulle;48.800469,2.128836
C;Saint-Quentin-en-Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;87393843;Entrée et sortie 2;;;D10;Entrée 2 - D10;48.787717,2.044097
L;Nanterre-Université;34 Boulevard des Provinces Françaises 92000 Nanterre;87386318;Entrée et sortie 2;Coté de l'université;;;Entrée 2 - Boulevard des Provinces Françaises (Coté Université);48.90173,2.2149
L;Marly-le-Roi;Rue Carnot 78160 Marly le Roi;87382465;Entrée et sortie 1;;;Place de la gare / Rue Carnot;Entrée 1 - Place de la gare / Rue Carnot;48.871262,2.096662
C;Ablon;Place de la Libération 94480   Ablon-sur-Seine;87545269;Entreé N°02;quai coté bv;Sortie rue Gabriel Péri;Rue Gabriel Péri;Entrée 2 - Rue Gabriel Péri;48.726317,2.420267
L;Paris Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;87281899;Entrée et Sortie 1;Cours de Rome;;Rue de Rome/ Place Gabriel Péri/ Rue Saint Lazare;Entrée 1 - Rue de Rome/ Place Gabriel Péri/ Rue Saint Lazare;48.875821,2.324306
C;Egly;Impasse de la Masure 91520   Egly;87545475;Entrée N°02;coté BV;Sortie Avenue de la Gare;Avenue de la Gare;Entrée 2 - Avenue de la Gare;48.582317,2.221967
C;Ermont Eaubonne;Rue des Bussys - 95120 Ermont;87276065;Entrée 4;;Sortie Rue de Bussy et Rue des Bouquinvilles;Rue des bussys;Entrée 4 - Rue des Bussys;48.980404,2.271941
C;Epinay-sur-Orge;1, Place Stalingrad 91360   Epinay-sur-Orge;87545228;Entrée N°03;;;Rue Pasteur;Entrée 3 - Rue Pasteur;48.669133,2.331733
C;Chemin-d'Antony;Rue Lavoisier 92160   Antony;87546317;Entrée N°02;;;Rue lavoisier;Entrée 2 - Avenue Lavoisier;48.74805,2.313183
C;Pont du Garigliano - Boulevard Victor;193, Quai André Citroën 75015  Paris;87393322;Entreé N°02;;"Sortie Hopital européen Georges Pompidou
Rue du professeur Florian Delabarre
France télévision
Sortie Boulevard Valin";Boulevard du général Martial Valin;Entrée 1 - Boulevard du général Martial Valin / Hopital européen Georges Pompidou / France télévision;48.83835,2.27
C;Massy-Palaiseau;6, Place Pierre Sémard 91300   Massy;87393579;Entrée N°03;facade Bv N°02;Sortie Rue Ramolfo garnier;Avenue Carnot;Entrée 3 - Rue Ramolfo garnier;48.723983,2.259417
C;Saint-Chéron;Place de la Gare 91530   Saint-Chéron;87545509;Entrée N°02;coté droit bv;Sortie rue des Herbages;Sortie rue des Herbages;Entrée 2 - Rue des Herbages;48.55115,2.125433
C;Porte de Clichy;190 ter, Avenue de Clichy 75017   Paris;87111278;Entrée N°01;;Sortie Avenue de Clichy;Avenue de Clichy;Entrée 1 -  Avenue de Clichy;48.89395,2.3146
C;Vauboyen;Rue de Vauboyen 78350   Jouy-en-Josas;87393538;Entrée N°02;;;Rue de Vauboyen;Entrée 2  - Rue de Vauboyen;48.759183,2.1919
L;La Defense;Rue Carpeaux - 92800 Puteaux;87382218;Entrée 1;Entrée centrale sur le parvis;Sortie A - Grande Arche;Avenue Perronet Nord;Entrée A - Grande Arche - Av Perronet Nord;48.8922,2.23795
L;Neuville-Université;Accès par l'avenue du boulevard circulaire;87334482;Entrée et sortie;Entrée principale;;Accès par l'avenue du boulevard circulaire;Entrée 1 -  Boulevard circulaire;49.05154,2.44341
L;Noisy le Roi;Place de la gare 78590 Noisy le Roi;87393876;Entrée et sortie 2;Coté bus et Parking;;;Entrée 2 - Place de la Gare (Parking, bus);48.841215,2.061408
L;Mareil Marly;Rue des Frères des Telliers 78750 Mareil-Marly;87382812;Entrée et sortie 2;;;Chemin du Cheval;Entrée 2 - Chemin du Cheval;48.881417,2.079511
C;Savigny-sur-Orge;Place de la Gare 91600   Savigny-sur-Orge;87545236;Entrée N°03;quai opposé BV;Sortie;Place Davout;Entrée 1 - Place Davout;48.67555,2.352033
C;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine;87545293;Entrée N°01;façade BV;;Cours de la gare;Entrée 1 - Cours de la gare;48.8005,2.402183
C;Breuillet-Village;Rue de la Gare 91650   Breuillet;87545491;Entreé N°02;Coté droit bv;"Sortie Rue de la Gare 
coté place de la Gare";Rue de la Gare;Entrée 2 -  Rue de la Gare / coté place de la Gare;48.564817,2.171217
