Ligne;Nom_gare;Adresse_gare;Code_UIC;Reperes_E_S;Observations;Signaletique_directionnelle;Adresse_de_la_sortie;Nom_de_la_sortie;Coordonnee_WGS84_Bing
C;Breuillet-Bruyères-le-Châtel;Route d'Arpajon 91650   Breuillet;87545483;Entreé N°02;coté bv;Sortie Place de la Gare;Route d'Arpajon;Entrée 2 - Route d'arpajon / Place de la Gare;48.577233,2.191967
C;Breuillet-Village;Rue de la Gare 91650   Breuillet;87545491;Entrée N°01;facade bv;Sortie Rue de la Gare;Rue de la Gare;Entrée 1 - Rue de la Gare;48.56495,2.17135
C;Gennevilliers;Avenue du Général De Gaulle 92230 Gennevilliers;87271245;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Avenue du Général De Gaulle;48.933728,2.306896
C;Chemin-d'Antony;Rue Lavoisier 92160   Antony;87546317;Entrée N°03;quai opposé au bv;Sortie Rue Pablo Picasso;;Entrée 3 - Rue Pablo Picasso;48.747772,2.312289
C;Arpajon;Rue Aristide Briand 91290   Arpajon;87545467;Entrée N°05;Quai opposé au bv;"Sortie par passage sous-terrain
Avenue d'egly";Route d'Egly;Entrée 1 - Route d'egly (Passage sous terrain);48.585833,2.241767
L;Viroflay Rive Droite;1 Place de Stalingrad;87382887;Entrée et sortie 2;;;Impasse Dupin/ Rue Gabriel Péri/ Rue Pierre Curie;Entrée 2 - Impasse Dupin/ Rue Gabriel Péri/ Rue Pierre Curie;48.805385,2.16927
C;Saint-Chéron;Place de la Gare 91530   Saint-Chéron;87545509;Entrée N°03;coté gauche bv;Sortie rue des Herbages;Sortie rue des Herbages;Entrée 3 - Rue des Herbages;48.551283,2.125917
C;Massy-Palaiseau;6, Place Pierre Sémard 91300   Massy;87393579;Entrée N°02;coté gauche bv;Sortie Place Pierre Semard;Place Pierre Semard;Entrée 2 - Place Pierre Semard;48.724917,2.256717
C;Neuilly-Porte Maillot;82, Avenue de la Grande Armée 75017   Paris;87381020;Entrée N°01;;Sortie place de la Porte Maillot;Place de la Porte Maillot;Entrée 1 - Place de la Porte Maillot;48.878033,2.28435
L;Celle-Saint-Cloud (La);Place Jean Mermoz 78170 La Celle Saint Cloud;87382432;Enrtée et sortie 2;Parking de la gare;;Avenue Boileau/ Place Jean Mermoz/ Avenue du Chesnay;Entrée 2 - Avenue Boileau/ Place Jean Mermoz/ Avenue du Chesnay;48.842537,2.137998
L;Cergy-le-Haut;Rue de lendemain 2ème accès;87382655;Entrée et sortie;Entrée 3;;Rue de lendemain 2ème accès;Entrée 3 - Rue du Lendemain;49.2558,2.04338
L;Cergy-Saint-Christophe;Rue des voyageurs;87382499;Entrée et sortie;Entrée 2;;Rue des voyageurs;Entrée 2 - Rue des Voyageurs;49.25922,2.2354
L;Sartrouville;Places des fusillés par la rue Lamartine;87386417;Entrée et sortie;Entrée / Sortie Unique;Entrée unique à vérifier;Places des fusillés par la rue Lamartine;Entrée 1 - Places des Fusillés;48.561668,2.92696
L;Saint-Germain Grande Ceinture;Place Christiane Frahier 78100 St Germain en Laye;87382804;Entrée  et sortie 1;;;Place Christiane Frahier 78100 St Germain en Laye;Entrée 1 - Place Christiane Frahier;48.903337,2.073297
L;Saint-Cloud;42 Rue Dailly 92210 Saint Cloud;87382358;Entrée et sortie 2;;;Rue Dailly;Entrée 2 - Rue Dailly;48.844947,2.217357
C;Saint-Chéron;Place de la Gare 91530   Saint-Chéron;87545509;Entrée N°04;coté opposé au bv;Sortie rue Racary;Sortie rue Racary;Entrée 4 -  Rue Racary;48.55105,2.126033
C;Massy-Palaiseau;6, Place Pierre Sémard 91300   Massy;87393579;Entrée N°04;Escalier Coté BV N°02;;Avenue Carnot;Entrée 1 - Avenue Carnot;48.724167,2.259333
L;Vallées (Les);Place des la gare des Vallées 92250 La Garenne Colombes;87386300;Entrée  et sortie1;;;Place de la gare des Vallées;Entrée 1 - Place de la gare des Vallées;48.913399,2.257891
C;Chamarande;Place de la Gare 91730   Chamarande;87545152;Entrée N°01;façade BV;;Place de la Gare;Entrée 1 -  Place de la gare;48.514259,2.215829
C;Saint-Michel-Notre-Dame;Quai Saint Michel 75005   Paris;87547315;Entrée N°02;;Sortie Saint Michel;Quai Saint Michel;Entrée 2 -  Quai St Michel;48.85375,2.344667
C;Vauboyen;Rue de Vauboyen 78350   Jouy-en-Josas;87393538;Entrée N°03;;;Rue de Vauboyen;Entrée 3  - Rue de Vauboyen;48.7593,2.192067
L;Asnières-sur-Seine;Rue de la Station 92600 Asnières sur Seine;87381137;Entrée  et sortie 1;;;Rue d'Anjou/ Rue de la Station;Entrée 1 - Rue d'Anjou/ Rue de la Station;48.906223,2.283831
C;Bièvres;Place de la Gare 91570   Bièvres;87393546;Entrée N°01;façade BV;Sortie Place de la Gare;Avenue de la Gare;Entrée 1 - Avenue de la Gare;48.751343,2.215722
L;Saint-Germain Bel Air Fourqueux;Place du Préfet Claude Erignac 78100 Saint Germain en Laye;87366922;Entrée et sortie 1;;;Place du Préfet Claude Erignac;Entrée 1 - Place du Préfet Claude Erignac;48.895038,2.070201
L;Paris Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;87281899;Entrée et sortie 3;Rue de Londres;;Rue de Londres;Entrée 3 - Rue de Londres Accès au Quais (Ter);48.878023,2.32627
L;Suresnes-Mont-Valérien;Rue Worth 92150 Suresnes;87382374;Entrée et sortie 1;;;Rue Worth;Entrée 1 - Rue Worth;48.871428,2.221256
C;Breuillet-Village;Rue de la Gare 91650   Breuillet;87545491;Entrée N°03;coté gauche bv;Sortie Rue de la Gare;Rue de la Gare;Entrée 3 - Rue de la Gare;48.56495,2.171567
C;Chamarande;Place de la Gare 91730   Chamarande;87545152;Entrée N°02;Quai BV;Sortie - Place de la Gare;Place de la Gare;Entrée 2 -  Place de la gare;48.514511,2.216286
C;Boulainvilliers;52, Rue des Vignes 75016   Paris;87543181;Entrée N°03;;;Rue de Boulainvilliers;Entrée 3 - Rue des Boulainvilliers;48.85665,2.27475
L;Maisons-Laffitte;1 entrée par 2 accès : rue jean Mermoz et par l'avenue de longueil;87386425;Entrée et sortie;Entrée secondaire;;1 entrée par 2 accès : Rue Jean Mermoz et par l'avenue de longueil.;Entrée 2 - Rue Jean Mermoz;48.564527,2.84099
L;Cergy-Saint-Christophe;Rue des pas perdus;87382499;Entrée et sortie;Entrée 1;;Rue des pas perdus;Entrée 1 - Rue des Pas Perdus;49.25809,2.233
L;Cergy-le-Haut;Rue de lendemain;87382655;Entrée et sortie;Entrée 2;;Rue de lendemain;Entrée 2 - Rue du Lendemain;49.025535,2.004274
L;LOUVECIENNES;;87382457;;;;;;
C;Saint-Martin-d'Etampes;Rue Salvador Allende 91150   Etampes;87545350;Entrée N°01;Coté droit du BV;Sortie rue Salvator Allende;Rue Salvator Allende;Entrée  1 - Rue Salvator Allende;48.4276,2.145283
C;Pontoise;Place du général de Gaulle 95300 Pontoise;87276139;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Place du général de Gaulle;49.047123,2.095428
C;Pont de l'Alma;Place de la Résistance 75007   Paris;87393041;Entrée N°02;Accés Quai B;Sortie;Place de la Résistance;Entrée 2 - Place de la Résistance  ( Accès Quai B);48.862694,2.301167
C;Péreire-Levallois;4 bis, Place du Maréchal Juin 75017   Paris;87381012;Entrée N°02;;Sortie puvuis de Chavannes;Bd Péreire Sud;Entrée 1  - Bld Pereire / Puvuis de Chavannes;48.886383,2.300617
C;Massy-Verrières;2 bis, Avenue de la Gare 91300   Massy;87383281;Entrée N°02;Coté droit bv sous terrain;;Place Gabriel Brun;Entrée 2 - Place Gabriel Brun;48.734883,2.273167
C;Jouy-en-Josas;Avenue Jean Jaurès 78350   Jouy-en-Josas;87393512;Entrée N°02;quai opposé bv;;;Entrée 2 - Avenue Jean Jaures;48.76455,2.166921
C;PARIS AUSTERLITZ;;87547026;;;;;;
C;Saint-Quentin-en-Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;87393843;Entrée et sortie 5;;;Place Charle De Gaulle/ Joël Le Theule;Entrée 5 - Place Charle De Gaulle/ Joël Le Theule;48.786461,2.044684
C;Versailles Rive Gauche - Château;5, Avenue du Général De Gaulle 78000   Versailles;87393157;Entrée N°03;coté gauche BV;;Avenue du Général de Gaulle;Entrée 3 - Avenue du Général de Gaulle;48.800516,2.129088
C;Versailles Rive Gauche - Château;5, Avenue du Général De Gaulle 78000   Versailles;87393157;Entrée N°01;façade bv;;Avenue du Général de Gaulle;Entrée 1 - Avenue du Général de Gaulle;48.80017,2.128649
C;Saint-Michel-sur-Orge;Rue Anatole France 91240   Saint-Michel-sur-Orge;87545202;Entrée N°04;Sortie place de la Gare;;Gare routière;Entrée 4 - Place de la Gare ( Gare Routière);48.6361,2.30695
C;Saint-Ouen-l'Aumône;rue du 8 mai 1945 95310 Saint-Ouen-l'Aumône;87276105;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Rue du 8 mai 1945;49.045239,2.106531
C;Vauboyen;Rue de Vauboyen 78350   Jouy-en-Josas;87393538;Entrée N°01;;Sortie rue de Vauboyen;Rue de Vauboyen;Entrée 1  - Rue de Vauboyen;48.758983,2.192
C;Villeneuve-le-Roi;Place de la Gare 94290   Villeneuve-le-Roi;87545277;Entrée N°02;quai opposé au bv;Sortie Zone industrielle;Chemin latéral;Entrée 2 -  Zone industrielle;48.739933,2.426733
L;Chaville Rive Droite;32 Rue Carnot  92370 Chaville;87382333;Entrée et sortie 1;;;Rue Carnot;Entrée 1 - Rue Carnot;48.812082,2.187807
C;Igny;1, Avenue Jean Jaurès 91430   Igny;87393561;Entrée N°01;façade bv;Sortie;Avenue Jean Jaures;Entrée 1 - Avenue Jean Jaures;48.740033,2.23125
C;Bouray;Paté de Lardy 91850  Lardy;87545178;Entrée N°01;façade BV;Sortie;Gare routière;Entrée 1 - Gare routière;48.533083,2.290617
C;Choisy-le-Roi;Avenue du 8 mai 45 94600   Choisy-le-Roi;87545285;Entrée N°02;passerelle bv;;;Entrée 2 - Avenue du 8 mai 45 (Passerelle);48.764067,2.409883
L;Saint-Germain Grande Ceinture;Place Christiane Frahier 78100 St Germain en Laye;87382804;Entrée et sortie 2;;;Rue Bastiat;Entrée 2 - Rue Bastiat;48.902825,2.072481
L;Vaucresson;Place de Charles de Gaulle 92420 Vaucresson;87382267;Entrée et sortie 1;;;Place du Général de Gaulle;Entrée 1 - Place du Général de Gaulle;48.83689,2.152642
L;Val-d'Or (Le);33, Avenue Alfred Belmontet 92210 Saint Cloud;87382366;Entrée et sortie 2;;;Rue du Pierrier;Entrée 2 - Rue du Pierrier;48.856442,2.215885
C;Saint-Michel-sur-Orge;Rue Anatole France 91240   Saint-Michel-sur-Orge;87545202;Entrée N°03;;Sortie rue Anatole France;Rue anatole France;Entrée 3 - Rue Anatole France;48.634933,2.30665
C;Viroflay Rive Gauche;1 Rue Riesseuc 78220 Viroflay;87393215;Entrée et sortie 1;Entrée et sortie Principale;;Rue de Riesseuc;Entrée 1 - Rue de Riesseuc;48.80073,2.171268
L;Cergy-Préfecture;Gare routière et Parvis en parallèle au Bld de l'Oise;87381905;Entrée et sortie;Entrée principale;Entrée unique à vérifier;Gare routière et Parvis en parallèle au Bld de l'Oise;Entrée 1 - Gare routière de Cergy Préfecture;49.2112,2.44838
L;La Defense;Rue Carpeaux - 92800 Puteaux;87382218;Entrée 5;Entrée et sortie intermodalité;Sortie Parvis;Place de la défense;Entrée 1 - Parvis de la Défense;48.891496,2.239285
L;Maisons-Laffitte;Place de la Libération par l'avenue du Général De Gaulle;87386425;Entrée et sortie;Entrée principale;;Place de la Libération par l'avenue du Général De Gaulle;Entrée 1 - Place de la Libération;48.564428,2.83919
L;Paris Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;87281899;Entrée et sortie 5;Cours du Havre/ Rue Amsterdam;;Rue d'Amsterdam;Entrée 5 - Cours du Havre/ Rue d'Amsterdam;48.876162,2.326806
L;Pont-Cardinet;145 Rue Cardinet 75017 Paris;87381111;Entrée et sortie 1;;;Boulevard Péreire Sud/ rue Cardinet;Entrée 1 - Boulevard Péreire Sud/ rue Cardinet;48.887596,2.31402
L;Noisy le Roi;Place de la gare 78590 Noisy le Roi;87393876;Entrée et sortie 1;;;Place Robert Brame;Entrée 1 - Place Robert Brame;48.841527,2.061725
C;Ermont Eaubonne;Rue des Bussys - 95120 Ermont;87276065;Entrée 3;;Sortie rue du Général Leclerc et Rue Raoul Doulty;Av Général Leclerc;Entrée 3 - Av Général Leclerc;48.980337,2.270597
C;Choisy-le-Roi;Avenue du 8 mai 45 94600   Choisy-le-Roi;87545285;Entrée N°04;quai opposé bv;;Quai de Choisy;Entrée 4 - Avenue du 8 mai 45;48.76503,2.411422
C;Issy Val-de-Seine;87, Avenue de Verdun 92130   Issy-les-Moulineaux;87393306;Entrée N°03;;;Rue Rouget de l'isle;Entrée 3 - Rue Rouget de l'isle;48.8291,2.262817
C;Franconville-Le Plessis-Bouchard;Place de la gare 95130 Franconville;87276071;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Place de la gare;48.993653,2.234952
C;Massy-Verrières;2 bis, Avenue de la Gare 91300   Massy;87383281;Entrée N°01;coté gauche BV;;Avenue de Verrières;Entrée 1 - Avenue de Verrières;48.734983,2.273333
C;Jouy-en-Josas;Avenue Jean Jaurès 78350   Jouy-en-Josas;87393512;Entrée N°01;facade BV;;Avenue Jean Jaures;Entrée 1 - Avenue Jean Jaures;48.764921,2.163542
C;Musée d'Orsay;7, Quai Anatole France 75007   Paris;87547307;Entrée N°02;Sur Quai;;Quai Anatole France;Entrée 2 - Quai Anatole France;48.860704,2.326035
C;Saint-Quentin-en-Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;87393843;Entrée et sortie 1;;;Place Charles de Gaulle;Entrée 1 - Place Charles de Gaulle;48.786621,2.045134
C;Saint-Ouen;Rue Dora Maar 93400 Saint-Ouen;87271247;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Rue Dora Maar;48.905507,2.32242
L;Courbevoie;Rue de Sébastopol 92400 Courbevoie;87382200;Entrée et sortie 1;;;Place de la gare de Courbevoie/ Rue Sébastopol;Entrée 1 - Place de la gare de Courbevoie/ Rue Sébastopol;48.898295,2.247949
L;Versailles Rive Droite;40, Rue du Maréchal Foch 78000  Versailles;87382861;Entrée et sortie 1;;;40, Rue du Maréchal Foch;Entrée 1 - Rue du Maréchal Foch;48.80971,2.135259
C;Sermaise;Route de Dourdan 91530   Sermaise;87545517;Entrée N°01;BV;"Sortie 
avenue de Dourdan";Avenue de Dourdan;Entrée  1 - Avenue de Dourdan;48.535433,2.0687
C;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine;87545293;Entrée N°06;sous terrain quai opposé au bv;;Rue Pierre Semard;Entrée 6 - Rue Pierre Semard (Sous terrain);48.800717,2.40265
C;Chaville-Vélizy;1, Place de Verdun 78140   Viroflay;87393173;Entrée N°02;coté opposé au bv;"Sortie Gare Routière
parking";rue Arthur petit;Entrée 2 - Gare Routière/ Parking;48.799267,2.183883
C;Ablon;Place de la Libération 94480   Ablon-sur-Seine;87545269;Entrée N°03;Quai opposé bv;Sortié allée des tamaris;Allée des tamaris;Entrée 3 - Allée des Tamaris;48.7251,2.419333
C;Brétigny;Place Pierre Venin91220  Brétigny-sur-Org;87545194;Entrée N°01;facade bv;Sortie place Pierre Venin;Place de la Gare;Entrée 1 - Place Pierre Venin;48.6066,2.30245
C;Arpajon;Rue Aristide Briand 91290   Arpajon;87545467;Entrée N°03;coté gauche BV;Sortie Avenue d'Egly;Place de la Gare;Entrée 3 - Avenue d'Egly;48.586183,2.241717
L;Clichy-Levallois;6 place du 8 mai 1945 92110 Clichy;87381129;Entrée et sortie 2;Sous le pont près du square;;Square de la gare/ Rue Paul Vaillant Couturier;Entrée 2 - Square de la gare/ Rue Paul Vaillant Couturier;48.898543,2.295382
L;Bécon les Bruyères;Rue Madira - 92400 Courbevoie;87382002;Entrée 2;Coté Courbevoie, entrée sur la Place;;Place du sarrail (Courbevoie);Entrée 2 - Place du sarrail (Courbevoie);48.905098,2.26865
C;Meudon Val-Fleury;1, Place Jean Jaurès 92190   Meudon;87393082;Entrée N°02;Quai opposé au bv;Sortie;Avenue de Louvois;Entrée 2 - Avenue de Louvois;48.807933,2.2414
C;Musée d'Orsay;7, Quai Anatole France 75007   Paris;87547307;Entrée N°04;;;Rue de la Légion d'Honneur;Entrée 4 - Rue de la Légion d'Honneur;48.860129,2.324794
C;Athis-Mons;Place de Rothenbourg ob der Tauber 91200   Athis-Mons;87545251;Entrée N°03;quai opposé au bv;Sortie Coté seine;Place Jules Froelinger;Entrée 3 - Place Jules Froelinger (Coté seine);48.7123,2.403517
C;Arpajon;Rue Aristide Briand 91290   Arpajon;87545467;Entrée N°01;façade BV;Sortie;Place de la Gare;Entrée 1 - Place de la gare;48.586183,2.241
L;Vaucresson;Place de Charles de Gaulle 92420 Vaucresson;87382267;Entrée et sortie 2;;;Sente des Buttes;Entrée 2 - Sente des Buttes;48.83686,2.151917
C;Etampes;Place du Général Leclerc 91150   Etampes;87545137;Entrée N°01;façade BV;Sortie Pl Général Leclerc coté Gare et Centre ville;Place Géneral Leclerc;Entrée 1 -Place Général Leclerc (coté Gare et Centre ville);48.436567,2.159517
C;Jouy-en-Josas;Avenue Jean Jaurès 78350   Jouy-en-Josas;87393512;Entrée N°03;quai opposé bv;;Rue de la Liberation;Entrée 3 - Rue de la Liberation;48.764697,2.161111
C;Saint-Michel-Notre-Dame;Quai Saint Michel 75005   Paris;87547315;Entrée N°01;;Sortie Notre Dame;Quai Saint Michel;Entrée 1 -  Quai St Michel (Notre Dame);48.853217,2.346567
C;Trappes;Avenue Gabriel Péri 78 190 Trappes;87393835;Entrée et sortie 2;;;Rue Jean Zay;Entrée 2 - Rue Jean Zay;48.774526,2.006213
C;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine;87545293;Entrée N°04;escalier debut quai opposé au bv;;Rue d'ivry;Entrée 4 - Rue d'Ivry;48.80145,2.402233
C;Dourdan;Place Amédée Guénée 91410   Dourdan;87545525;Entrée N°01;façade BV;"Sortie
 place Amédée Guénée 
Gare Routière";Rue Amédée Guénée;Entrée  1 - Gare Routière / Place Amédée Guénée;48.533417,2.0097
C;Champ de Mars - Tour Eiffel bir hakeim;Quai Branly ( pont Bir Hakeim ) 75015   Paris;87393058;Entrée N°02;Coté Tour Eiffel;"Sortie
 Avenue Suffren 
Tour Eiffel";Quai Branly;Entrée 2 - Avenue Suffren / Tour Eiffel;48.857278,2.291033
C;Sainte-Geneviève-des-Bois;Place de la Gare 91700   Sainte-Geneviève-des-Bois;87545210;Entrée N°01;façade BV;Sortie Villiers sur orge;Place de la Gare;Entrée 1 -  Place de la Gare / Villiers sur orge;48.653233,2.3131
C;Saint-Chéron;Place de la Gare 91530   Saint-Chéron;87545509;Entrée N°01;facade bv;Sortie rue des Herbages;Sortie rue des Herbages;Entrée 1 - Rue des Herbages;48.551217,2.125567
C;Saint-Cyr;Place Pierre Sémard 78120 Saint-Cyr l'Ecole;87393223;Entrée et sortie 1;Entrée principale;;Place Pierre Sémard;Entrée 1 - Place Pierre Sémard;48.799002,2.073308
C;Péreire-Levallois;4 bis, Place du Maréchal Juin 75017   Paris;87381012;Entrée N°01;entrée BV;Sortie place du Marechal Juin;Place du Maréchal Juin;Entrée 1 - Place du Maréchal Juin;48.885333,2.29795
C;Brétigny;Place Pierre Venin 91220  Brétigny-sur-Org;87545194;Entreé N°02;;Sortie Brossolette;Rue Pierre Brossolette;Entrée 2 - Rue Pierre Brossolette;48.606883,2.301183
C;Chemin-d'Antony;Rue Lavoisier 92160   Antony;87546317;Entrée N°01;;Sortie Avenue Lavoisier;Rue lavoisier;Entrée 1 - Avenue Lavoisier;48.748083,2.312383
C;Egly;Impasse de la Masure 91520   Egly;87545475;Entrée N°01;facade BV;;Avenue de la Gare;Entrée 1 - Avenue de la Gare;48.582283,2.222233
C;Pont du Garigliano - Boulevard Victor;193, Quai André Citroën75015 Paris;87393322;Entrée N°01;;;Rue du professeur Florian Delabarre;Entrée 1 - Rue du professeur Florian Delabarre;48.839467,2.271567
C;Porchefontaine;Avenue de Porchefontaine 78000   Versailles;87393165;Entrée N°01;facade Bv;Sortie;Avenue de Porchefontaine;Entrée 1 - Avenue de Porchefontaine;48.796917,2.153967
C;Porte de Clichy;190 ter, Avenue de Clichy 75017   Paris;87111278;Entrée N°02;;Sortie rue de la jonquiere;Rue fragonard;Entrée 2 -  Rue de la Jonquiere / Rue Fragonard;48.89455,2.317183
C;Sainte-Geneviève-des-Bois;Place de la Gare 91700   Sainte-Geneviève-des-Bois;87545210;Entrée N°03;Quai opposé au bv;Sortie;Place du Président F.Roosvelt;Entrée 3 -  Place du Président F.Roosevelt;48.653267,2.313883
L;Bécon les Bruyères;Rue Madira - 92400 Courbevoie;87382002;Entrée 1;Coté Courbevoie, entrée sur la Place;;Place du sarrail (Courbevoie);Entrée 1 - Place du sarrail (Courbevoie);48.905226,2.269023
L;Viroflay Rive Droite;1 Place de Stalingrad;87382887;Entrée et sortie 1;;;Place de la Bataille de Stalingrad;Entrée 1 - Place de la Bataille de Stalingrad;48.805628,2.1685
C;Avenue du Président Kennedy;6, Rue du Ranelagh 75016   Paris;87543207;Entrée N°01;;"Sortie - Rue Ranelagh
maison radio France";rue Ranelagh;Entrée 1 -  Rue Ranelagh (Maison de la Radio);48.853,2.280333
C;Arpajon;Rue Aristide Briand 91290   Arpajon;87545467;Entrée N°04;coté gauche BV;;Place de la Gare;Entrée 4 - Place de la gare;48.586167,2.241817
C;Boulainvilliers;52, Rue des Vignes 75016   Paris;87543181;Entreé N°02;;;Rue des Vignes;Entrée 2 -  Rue des Vignes;48.856267,2.275067
C;Cernay;Rue Gallieni 95120 Ermont;87276063;Entrée et Sortie;Entrée Principale;;;Entrée 1 - Rue Gallieni;48.985413,2.256748
C;Gravigny-Balizy;Rue des Templiers 91160   Longjumeau;87393645;Entrée N°02;debut quai BV;Sortie coté Balizy;Rue des Templiers;Entrée 2 - Rue des Templiers (Coté Balizy);48.685217,2.317817
C;Etréchy;Boulevard Pasteur 91580   Etrechy;87545145;Entrée N°03;Quai opposé au bv;Sortie rue de Vintue;Rue de Vintue;Entrée 3 - Rue de Vintue;48.493453,2.194882
C;Issy Val-de-Seine;87, Avenue de Verdun 92130   Issy-les-Moulineaux;87393306;Entrée N°01;;;Place Lafayette;Entrée 1 - Place Lafayette;48.829317,2.263317
C;Massy-Verrières;2 bis, Avenue de la Gare 91300   Massy;87383281;Entrée N°03;sous terrain entrée opposée au bv;;Place Gabriel Brun;Entrée 3 - Place Gabriel Brun (Sous terrain);48.7344,2.2735
C;Musée d'Orsay;7, Quai Anatole France 75007   Paris;87547307;Entrée N°03;Esplanade musée;;Rue de la Légion d'Honneur;Entrée 3 - Rue de la Légion d'Honneur (Esplanade musée);48.860642,2.325415
C;Marolles-en-Hurepoix;Place de la Gare 91630   Marolles-en-Hurepoix;87545186;Entrée N°02;coté droit du BV;Sortie place de la gare;;Entrée 2 - Place de la Gare;48.5649,2.290733
C;Montigny-Beauchamp;Place de la Gare, 95370 Montigny Les Cormeilles;87276089;Entrée et Sortie;Entrée Principale;;Avenue de la Gare;Entrée 1 - Avenue de la Gare;49.007488,2.197844
C;Saint-Chéron;Place de la Gare 91530   Saint-Chéron;87545509;Entrée N°05;coté opposé au bv;Sortie rue Racary;Sortie rue Racary;Entrée 5 -  Rue Racary;48.55075,2.124517
L;Puteaux;2 Rue Ferdinand Pelloutier 92800 Puteaux;87382382;Entrée et sortie 1;;;Rue Ferdinant Pelloutier;Entrée 1 - Rue Ferdinant Pelloutier;48.883449,2.233407
C;Saules (Les);Voie les Saules 94310   Orly;87546226;Entrée N°01;façade BV;Sortie;Place de la Gare des Saules;Entrée 1 - Place de la Gare des Saules;48.745483,2.41725
C;Avenue Foch;91 Boulevard Flandrin 75016   Paris;87381038;Entrée N°01;façade BV;"Sortie place  Maréchal de Latre de Tassigny
Bd Flandrin";Place du Maréchal de Latre de Tassigny;Entrée 1 - Place Maréchal de Tassigny / Bd Flandrin;48.87105,2.275683
C;Massy-Palaiseau;6, Place Pierre Sémard 91300   Massy;87393579;Entrée N°01;façade BV N°01;Sortie Place Pierre Semard;Place Pierre Semard;Entrée 1 - Place Pierre Semard;48.724683,2.256383
C;Meudon Val-Fleury;1, Place Jean Jaurès 92190   Meudon;87393082;Entrée N°01;facade bv;Sortie;Avenue de Louvois;Entrée 1 - Avenue de Louvois;48.808,2.240883
C;Musée d'Orsay;7, Quai Anatole France 75007   Paris;87547307;Entrée N°01;Sur Quai;;Quai Anatole France;Entrée 1 - Quai Anatole France;48.860917,2.325244
L;Bougival;Place Maréchal Leclerc 78170 La Celle-Saint-Cloud;87382440;Entrée et sortie 1;;;Place Maréchal Leclerc /Sente de la Station;Entrée 1 - Place Maréchal Leclerc /Sente de la Station;48.854243,2.132392
L;Conflans-fin-d'Oise;Par le rond point Quai Eugène le coore;87381459;Entrée et sortie;Entrée 2 côté parking;;Par le rond point Quai Eugène le coore;Entrée 2 - Rond point Quai Eugène Le Coore;49.59205,2.42714
L;La Defense;Rue Carpeaux - 92800 Puteaux;87382218;Entrée 2;Entrée centrale sur le parvis;Sortie A - Grande Arche;Avenue Perronet Sud;Entrée A - Grande Arche - Av Perronet Sud;48.89182,2.23777
L;Neuville-Université;Accès par le chemin de Cergy;87334482;Entrée et sortie;Entrée secondaire;;Accès par le chemin de Cergy;Entrée 2 - Chemin de Cergy;49.05105,2.44066
L;Pont-Cardinet;145 Rue Cardinet 75017 Paris;87381111;Entrée et sortie 2;;;Rue Cardinet;Entrée 2 - Rue Cardinet;48.887627,2.314407
L;GARCHES MARNES LA COQUETTE;;87382259;;;;;;
C;Breuillet-Village;Rue de la Gare 91650   Breuillet;87545491;Entrée N°05;Début de quai opposé au bv;"Sortie Rue de la gare 
coté parking";Rue de la Gare;Entrée 5 - Rue de la gare  / coté parking;48.564783,2.17175
C;Breuillet-Bruyères-le-Châtel;Route d'Arpajon 91650   Breuillet;87545483;Entrée N°01;facade bv;Sortie Place de la Gare;Route d'Arpajon;Entrée 1 - Place de la Gare;48.577133,2.191833
C;Dourdan;Place Amédée Guénée 91410   Dourdan;87545525;Entrée N°02;coté Gauche du v;Sortie de Nuit;Av du docteur jules bales;Sortie 1 - Av du docteur jules bales (Uniquement en nuit);48.533483,2.00935
C;Savigny-sur-Orge;Place de la Gare 91600   Savigny-sur-Orge;87545236;Entrée N°04;quai opposé BV sous-terrain;;Place Davout;Entrée 2 - Place Davout;48.675783,2.352183
C;Saint-Michel-sur-Orge;Rue Anatole France 91240   Saint-Michel-sur-Orge;87545202;Entrée N°02;;;Allée des Vignes;Entrée 2 - Allée des Vignes;48.636083,2.306517
C;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine;87545293;Entrée N°03;escalier debut du quai coté bv;;Rue Jules Ferry;Entrée 3 - Rue Jules Ferry;48.8013,2.40175
C;Issy Val-de-Seine;87, Avenue de Verdun 92130   Issy-les-Moulineaux;87393306;Entrée N°02;;;Rue Rouget de l'isle;Entrée 2 - Rue Rouget de l'isle;48.829333,2.26295
C;BIBILIOTHEQUE F. MITTERRAND;;87328328;;;;;;
C;Breuillet-Bruyères-le-Châtel;Route d'Arpajon 91650   Breuillet;87545483;Entrée N°04;Quai opposé bv;Sortie Rue Nouvelle;Rue Nouvelle;Entrée 4 - Rue Nouvelle;48.577967,2.19245
C;Boulainvilliers;52, Rue des Vignes 75016   Paris;87543181;Entrée N°04;;Sortie rue singer;Villa des glinières;Entrée 4 - Rue Singer / Villa des Glinières;48.85665,2.2754
